ts_5min,bf_power,cold_power,cold_freq,exh_power,exh_freq,exh_voltage_v,exh_moto_temp,exh_ambient_temp,env_temp,env_hum,env_press,main_power,dayofweek,is_weekend,tod_sin,tod_cos
2025-11-04 10:25:00,72.77109086296778,2.075000002980232,24.63999996185302,,,555.3636363636364,28.0666669209798,28.6500005722046,15.1999998092651,79.31428636823382,0.2666666756073633,87122.7890625,1,0,0.4027466898587373,-0.9153114791194472
2025-11-04 10:30:00,72.73146968032373,2.08333332836628,22.84399957656857,,,556.3636363636364,28.0666669209798,28.6500005722046,15.1999998092651,79.61250019073486,0.2666666756073633,86040.74888392857,1,0,0.3826834323650899,-0.9238795325112868
2025-11-04 10:35:00,72.9181822430004,2.107777752478918,24.6899998404763,,,556.0,28.0666669209798,28.6500005722046,15.133333524068163,80.00909077037464,0.2666666756073633,88973.58333333333,1,0,0.3624380382837017,-0.9320078692827984
2025-11-04 10:40:00,72.96633336616287,2.084999993443489,24.63299980163575,,,556.8888888888889,28.0666669209798,28.6500005722046,14.949999809265153,80.41428593226841,0.2666666756073633,88106.51692708333,1,0,0.3420201433256689,-0.9396926207859084
2025-11-04 10:45:00,72.81383834463176,2.077500015497208,24.54384613037108,,,555.1111111111111,28.0666669209798,28.6500005722046,14.8000001907349,80.8125,0.2666666756073633,89631.54947916667,1,0,0.3214394653031617,-0.9469301294951056
2025-11-04 10:50:00,72.9323487209551,3.4800000190734863,24.489091179587614,,,556.25,28.0666669209798,28.6500005722046,14.8000001907349,81.23333316379123,0.2666666756073633,88151.4921875,1,0,0.3007057995042733,-0.9537169507482268
2025-11-04 10:55:00,72.78083340326943,3.53333330154419,24.61499996185303,,,556.3,28.0666669209798,28.6500005722046,14.8000001907349,80.49999923706055,0.2666666756073633,89914.71428571429,1,0,0.2798290140309923,-0.9600498543859286
2025-11-04 11:00:00,73.15736304340939,3.512499988079071,24.60636364329945,,,555.2222222222222,28.0666669209798,28.6500005722046,14.8499999046326,80.25714220319476,0.2666666756073633,88048.9921875,1,0,0.258819045102521,-0.9659258262890682
2025-11-04 11:05:00,73.14651510932228,3.5428571360451837,24.77499985694884,,,556.5384615384615,28.0666669209798,28.6500005722046,14.8499999046326,80.76999969482422,0.2666666756073633,85739.19661458333,1,0,0.2376858923261729,-0.9713420698132614
2025-11-04 11:10:00,73.33001519260986,2.108333309491476,24.910000006357823,,,556.6666666666666,28.0666669209798,28.6500005722046,14.949999809265153,81.21666590372722,0.2666666756073633,85261.51692708333,1,0,0.2164396139381031,-0.9762960071199333
2025-11-04 11:15:00,73.54882809658241,2.124999985098839,24.84416659673056,,,557.4545454545455,28.0666669209798,28.6500005722046,14.949999809265153,80.98333231608073,0.2666666756073633,81503.65178571429,1,0,0.1950903220161281,-0.9807852804032304
2025-11-04 11:20:00,73.7814999103546,2.0999999791383748,24.768000030517555,,,557.8461538461538,28.0666669209798,28.6500005722046,14.949999809265153,80.91111161973741,0.2666666756073633,80585.07682291667,1,0,0.1736481776669302,-0.984807753012208
2025-11-04 11:25:00,73.8574243343238,3.549999952316285,24.836000251770017,,,556.5555555555555,28.0666669209798,28.6500005722046,14.949999809265153,80.43636322021484,0.2666666756073633,80480.97265625,1,0,0.152123386189917,-0.9883615104677608
2025-11-04 11:30:00,73.90083336830143,3.5714285373687757,24.820908979936064,,,557.4444444444445,28.0666669209798,28.6500005722046,14.949999809265153,79.88750076293945,0.2666666756073633,80867.51302083333,1,0,0.1305261922200515,-0.9914448613738104
2025-11-04 11:35:00,73.90946756300299,2.077777763207754,24.76750008265177,,,558.4,28.0666669209798,28.5,14.949999809265153,80.01428549630302,0.2666666756073633,80097.79557291667,1,0,0.1088668748519645,-0.9940563382223196
2025-11-04 11:40:00,73.98037883729647,2.1249999701976785,24.761818278919563,,,557.8571428571429,28.0666669209798,28.55000019073485,14.8999996185303,80.77999954223633,0.2666666756073633,84120.82142857143,1,0,0.0871557427476586,-0.9961946980917455
2025-11-04 11:45:00,73.86759139841257,2.116666649778685,24.87272730740634,,,556.8,28.0666669209798,28.55000019073485,14.8999996185303,81.41666666666667,0.2666666756073633,83190.33463541667,1,0,0.0654031292301431,-0.9978589232386036
2025-11-04 11:50:00,73.62333313624063,2.0627272860570387,22.778461382939277,,,557.1111111111111,28.0666669209798,28.55000019073485,14.833333333333366,81.03333282470703,0.2666666756073633,82085.38541666667,1,0,0.043619387365336,-0.9990482215818578
2025-11-04 11:55:00,73.16098488460888,1.5675000131130217,20.750416517257698,,,556.8181818181819,28.0666669209798,28.55000019073485,14.8499999046326,80.78888871934679,0.2666666756073633,89294.00651041667,1,0,0.0218148850345607,-0.9997620270799092
2025-11-04 12:00:00,73.02895462874211,1.5450000315904613,20.25200004577636,,,555.6,28.0666669209798,28.55000019073485,14.8499999046326,80.7111104329427,0.2666666756073633,90370.40513392857,1,0,1.2246467991473532e-16,-1.0
2025-11-04 12:05:00,72.55615162415938,1.5999999791383748,20.16750001907349,,,555.5555555555555,28.0666669209798,28.55000019073485,14.8499999046326,81.44444444444444,0.2666666756073633,87685.453125,1,0,-0.0218148850345609,-0.9997620270799092
